Date,Name,Year,Letterboxd URI,Rating
2025-01-03,Arrival,2016,https://boxd.it/ed3k,5
2025-01-10,Blade Runner 2049,2017,https://boxd.it/b8wK,4.5
2025-01-18,The Social Network,2010,https://boxd.it/17ue,4.5
2025-02-02,Black Swan,2010,https://boxd.it/IgW,5
2025-02-11,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,3.5
2025-03-01,Whiplash,2014,https://boxd.it/7bQA,5
2025-03-12,Her,2013,https://boxd.it/4O24,4.5
2025-04-02,Tenet,2020,https://boxd.it/kWJY,3
2025-04-20,Prisoners,2013,https://boxd.it/4E5i,4.5
2025-05-05,The Lighthouse,2019,https://boxd.it/icFU,4
2025-05-20,La La Land,2016,https://boxd.it/a5fa,3.5
2025-06-06,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4
